Pressure,Height,Temperature,Dew_Point,Relative_Humidity,Mixing_Ratio,Wind_Direction,Wind_Speed,THTA,THTE,THTV
100,16560,-70.1,-79.1,26,0.01,245,42,392,392.1,392
99.2,16608,-70.1,-79.1,26,0.01,247,40,392.9,393,392.9
97,16741,-69.9,-79.9,22,0.01,252,36,395.8,395.9,395.9
92,17054,-71,-81.9,19,0.01,265,25,399.6,399.6,399.6
90,17183,-71.5,-82.7,18,0,260,22,401.2,401.2,401.2
89,17249,-71.8,-83.1,17,0,255,23,402,402,402
85.2,17507,-72.7,-84.7,15,0,264,28,405.1,405.1,405.1
85.1,17514,-72.7,-84.7,15,0,265,28,405.3,405.3,405.3
83.3,17639,-72.5,-84.5,15,0,269,31,408.2,408.2,408.2
83,17661,-72.5,-84.5,15,0,270,31,408.6,408.7,408.6
81,17804,-72.2,-84.2,15,0,285,29,412,412,412
79.9,17884,-72.1,-84.1,15,0,280,27,413.9,413.9,413.9
78,18026,-72.3,-84.6,14,0,270,23,416.2,416.3,416.2
76,18178,-72.6,-85.1,14,0,270,27,418.8,418.8,418.8
72.2,18479,-73.1,-86.1,12,0,278,19,423.9,423.9,423.9
71,18577,-73.4,-86.4,12,0,280,16,425.3,425.3,425.3
70.6,18610,-73.5,-86.5,12,0,280,15,425.8,425.8,425.8
70,18660,-73.3,-86.3,12,0,280,14,427.2,427.3,427.2
68,18830,-71.8,-85.6,11,0,250,9,434,434.1,434
67.6,18865,-71.5,-85.5,11,0,238,10,435.4,435.4,435.4
67,18917,-71.3,-85.6,10,0,220,11,437,437,437
64,19188,-70.1,-86.1,8,0,290,8,445.3,445.4,445.3
62.6,19319,-70.1,-86.1,8,0,252,6,448.2,448.2,448.2
62,19377,-70.2,-86.7,7,0,235,5,449.2,449.2,449.2
61.3,19444,-70.3,-87.3,7,0,214,7,450.4,450.4,450.4
61,19473,-70.2,-87.5,6,0,205,8,451.3,451.3,451.3
59.2,19651,-69.5,-88.5,5,0,236,12,456.7,456.7,456.7
59,19671,-69.4,-88.3,5,0,240,13,457.4,457.4,457.4
57,19877,-68.3,-86.5,6,0,260,6,464.4,464.4,464.4
56.6,19919,-68.1,-86.1,6,0,250,7,465.8,465.8,465.8
56,19983,-68.2,-86.6,6,0,235,8,467,467,467
55,20091,-68.4,-87.5,5,0,245,6,469,469,469
53,20312,-68.7,-89.3,4,0,255,5,473.1,473.2,473.1
52,20426,-68.9,-90.2,3,0,250,5,475.3,475.3,475.3
51.1,20530,-69.1,-91.1,3,0,257,5,477.3,477.3,477.3
50,20660,-68.9,-91.9,2,0,265,6,480.7,480.7,480.7
49,20781,-67.7,-91.6,2,0,245,7,486.2,486.3,486.2
48.8,20806,-67.5,-91.5,2,0,252,7,487.4,487.4,487.4
47.7,20944,-65.9,-88.9,3,0,293,10,494.4,494.4,494.4
47,21034,-65.1,-89.5,2,0,320,11,498.5,498.5,498.5
46.7,21073,-64.7,-89.7,2,0,333,9,500.3,500.3,500.3
46,21165,-64.3,-89.3,2,0,5,4,503.3,503.3,503.3
45,21300,-63.8,-88.8,2,0,295,3,507.7,507.7,507.7
44,21438,-63.3,-88.3,2,0,295,5,512.2,512.2,512.2
43.2,21550,-62.9,-87.9,2,0,7,6,515.9,516,515.9
43,21579,-63,-87.9,2,0,25,6,516.5,516.5,516.5
40.8,21902,-63.5,-87.5,3,0,103,8,522.9,523,522.9
39.3,22132,-63.1,-87.1,3,0.01,159,10,529.6,529.6,529.6
39,22179,-63.1,-87.1,3,0.01,170,10,530.7,530.8,530.7
38.8,22211,-63.1,-87.1,3,0.01,184,9,531.5,531.6,531.5
38,22339,-63.2,-87.2,3,0.01,240,4,534.4,534.4,534.4
37.5,22421,-63.3,-87.3,3,0.01,307,3,536.2,536.2,536.2
37,22503,-63.2,-87.2,3,0.01,15,1,538.5,538.6,538.5
35.7,22723,-62.9,-86.9,3,0.01,301,6,544.8,544.9,544.8
35,22845,-62.6,-86.6,3,0.01,260,8,548.7,548.8,548.7
